timestamp_utc,field,old_value,new_value,observed_at_utc
2026-09-15T05:50:00Z,wvht,,1.6,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,dpd,,8,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,apd,,5.8,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,mwd,,342,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,pres,1023.1,1023.4,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,wtmp,,16.4,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-15T17:45:18Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wdir,340,350,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wvht,,1.5,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,dpd,,8,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,apd,,5.3,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,mwd,,336,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,pres,1022.1,1022.4,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wtmp,,16.4,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-15T17:45:18Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-15T22:24:56Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-15T22:24:56Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-15T22:24:56Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-15T22:24:56Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-16T06:38:34Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-16T06:38:34Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-16T06:38:34Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-16T06:38:34Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-16T12:47:30Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-16T12:47:30Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-16T12:47:30Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,wdir,350,360,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,wspd,11.0,10.0,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,gst,13.0,12.0,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,pres,1025.0,1025.4,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,wtmp,,16.4,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-16T12:47:30Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-16T17:43:09Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-16T17:43:09Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-16T17:43:09Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-16T17:43:09Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-16T17:43:09Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-16T17:43:09Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-16T17:43:09Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-16T22:17:08Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-16T22:17:08Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-16T22:17:08Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-16T22:17:08Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-16T22:17:08Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-16T22:17:08Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-16T22:17:08Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-17T06:36:07Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-17T06:36:07Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-17T06:36:07Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-17T06:36:07Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-17T06:36:07Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-17T06:36:07Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-17T06:36:07Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-17T12:44:50Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-17T12:44:50Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-17T12:44:50Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-17T12:44:50Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-17T12:44:50Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-17T12:44:50Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-17T12:44:50Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-17T17:43:47Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-17T17:43:47Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-17T17:43:47Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-17T17:43:47Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-17T17:43:47Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-17T17:43:47Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-17T17:43:47Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-17T22:24:08Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-17T22:24:08Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-17T22:24:08Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-17T22:24:08Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-17T22:24:08Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-17T22:24:08Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-17T22:24:08Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-18T06:32:51Z
2026-09-15T05:50:00Z,dewp,14.5,,2026-09-18T06:32:51Z
2026-09-15T12:20:00Z,atmp,15.3,,2026-09-18T06:32:51Z
2026-09-15T12:20:00Z,dewp,14.3,,2026-09-18T06:32:51Z
2026-09-16T05:50:00Z,dpd,7,,2026-09-18T06:32:51Z
2026-09-16T05:50:00Z,atmp,16.0,,2026-09-18T06:32:51Z
2026-09-16T05:50:00Z,dewp,12.6,,2026-09-18T06:32:51Z
2026-09-15T05:50:00Z,atmp,15.3,,2026-09-18T12:20:33Z
