timestamp_utc,field,old_value,new_value,observed_at_utc
2026-09-14T22:10:00Z,wvht,,1.4,2026-09-15T06:37:16Z
2026-09-14T22:10:00Z,apd,,5.3,2026-09-15T06:37:16Z
2026-09-14T22:10:00Z,mwd,,332,2026-09-15T06:37:16Z
2026-09-15T12:10:00Z,wvht,,1.5,2026-09-15T17:45:18Z
2026-09-15T12:10:00Z,apd,,5.1,2026-09-15T17:45:18Z
2026-09-15T12:10:00Z,mwd,,2,2026-09-15T17:45:18Z
2026-09-16T17:10:00Z,wvht,,1.9,2026-09-16T22:17:08Z
2026-09-16T17:10:00Z,apd,,5.4,2026-09-16T22:17:08Z
2026-09-16T17:10:00Z,mwd,,21,2026-09-16T22:17:08Z
2026-09-17T12:10:00Z,wvht,,1.9,2026-09-17T17:43:47Z
2026-09-17T12:10:00Z,apd,,6.2,2026-09-17T17:43:47Z
2026-09-17T12:10:00Z,mwd,,351,2026-09-17T17:43:47Z
2026-09-20T21:10:00Z,wvht,,1.1,2026-09-21T07:00:48Z
2026-09-20T21:10:00Z,apd,,5.3,2026-09-21T07:00:48Z
2026-09-20T21:10:00Z,mwd,,180,2026-09-21T07:00:48Z
2026-09-21T21:40:00Z,wvht,,1.5,2026-09-22T12:00:08Z
2026-09-21T21:40:00Z,apd,,6.3,2026-09-22T12:00:08Z
2026-09-21T21:40:00Z,mwd,,20,2026-09-22T12:00:08Z
2026-09-23T00:40:00Z,wvht,,2.0,2026-09-23T06:29:20Z
2026-09-23T00:40:00Z,apd,,7.3,2026-09-23T06:29:20Z
2026-09-23T00:40:00Z,mwd,,302,2026-09-23T06:29:20Z
2026-09-23T19:10:00Z,wvht,,1.6,2026-09-23T22:50:05Z
2026-09-23T19:10:00Z,apd,,7.3,2026-09-23T22:50:05Z
2026-09-23T19:10:00Z,mwd,,311,2026-09-23T22:50:05Z
