timestamp_utc,field,old_value,new_value,observed_at_utc
2026-09-15T12:20:00Z,wdir,10,20,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wspd,5.0,6.0,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,pres,1026.4,1026.3,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,atmp,,17.8,2026-09-15T17:45:18Z
2026-09-16T05:50:00Z,wdir,40,50,2026-09-16T12:47:30Z
2026-09-16T05:50:00Z,atmp,,17.7,2026-09-16T12:47:30Z
2026-09-18T05:50:00Z,wdir,150,160,2026-09-18T12:20:33Z
2026-09-18T05:50:00Z,gst,2.0,3.0,2026-09-18T12:20:33Z
2026-09-18T05:50:00Z,atmp,,17.6,2026-09-18T12:20:33Z
2026-09-19T05:50:00Z,wspd,4.0,5.0,2026-09-19T12:02:21Z
2026-09-19T05:50:00Z,pres,1023.5,1023.4,2026-09-19T12:02:21Z
2026-09-19T05:50:00Z,atmp,,19.0,2026-09-19T12:02:21Z
2026-09-23T00:50:00Z,wdir,,180,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,wspd,0.0,1.0,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,gst,1.0,2.0,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,atmp,,19.9,2026-09-23T06:29:20Z
2026-09-23T19:20:00Z,gst,15.0,14.0,2026-09-23T22:50:05Z
2026-09-23T19:20:00Z,pres,1012.5,1012.4,2026-09-23T22:50:05Z
2026-09-23T19:20:00Z,atmp,,18.3,2026-09-23T22:50:05Z
