timestamp_utc,field,old_value,new_value,observed_at_utc
2026-09-13T06:10:00Z,wvht,,1.3,2026-09-13T12:49:28Z
2026-09-13T06:10:00Z,apd,,6.3,2026-09-13T12:49:28Z
2026-09-13T06:10:00Z,mwd,,196,2026-09-13T12:49:28Z
2026-09-14T22:10:00Z,wvht,,1.8,2026-09-15T06:37:16Z
2026-09-14T22:10:00Z,apd,,6.6,2026-09-15T06:37:16Z
2026-09-14T22:10:00Z,mwd,,277,2026-09-15T06:37:16Z
2026-09-16T17:10:00Z,wvht,,1.2,2026-09-16T22:17:08Z
2026-09-16T17:10:00Z,apd,,6.8,2026-09-16T22:17:08Z
2026-09-16T17:10:00Z,mwd,,266,2026-09-16T22:17:08Z
2026-09-17T12:20:00Z,atmp,,20.2,2026-09-17T17:43:47Z
2026-09-17T12:20:00Z,wtmp,,23.1,2026-09-17T17:43:47Z
2026-09-17T12:20:00Z,dewp,,15.7,2026-09-17T17:43:47Z
2026-09-18T05:50:00Z,atmp,,20.5,2026-09-18T12:20:33Z
2026-09-18T05:50:00Z,wtmp,,23.2,2026-09-18T12:20:33Z
2026-09-18T05:50:00Z,dewp,,16.8,2026-09-18T12:20:33Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,atmp,,20.6,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,wtmp,,23.1,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,dewp,,16.9,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-18T21:48:22Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-19T06:31:03Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-19T12:02:21Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-19T16:46:07Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-19T21:41:56Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-20T06:53:20Z
2026-09-19T21:00:00Z,wvht,,1.2,2026-09-20T06:53:20Z
2026-09-19T21:00:00Z,apd,,6.5,2026-09-20T06:53:20Z
2026-09-19T21:00:00Z,mwd,,288,2026-09-20T06:53:20Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-20T12:35:27Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-20T16:57:27Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-20T21:45:59Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-21T07:00:48Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-21T14:30:10Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-21T18:53:30Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-21T22:46:46Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-22T12:00:08Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-22T16:38:06Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-22T20:04:02Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-22T22:53:25Z
2026-09-22T19:10:00Z,wvht,,1.1,2026-09-22T22:53:25Z
2026-09-22T19:10:00Z,apd,,5.5,2026-09-22T22:53:25Z
2026-09-22T19:10:00Z,mwd,,199,2026-09-22T22:53:25Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-23T01:20:36Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,wdir,290,300,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,gst,8.0,9.0,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,pres,1010.3,1010.5,2026-09-23T06:29:20Z
2026-09-23T00:50:00Z,wtmp,,23.1,2026-09-23T06:29:20Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-23T11:59:48Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-23T11:59:48Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-23T16:30:21Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-23T16:30:21Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-23T19:46:03Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-23T19:46:03Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-23T22:50:05Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-23T22:50:05Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-24T01:15:08Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-24T01:15:08Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-24T06:35:43Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-24T06:35:43Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-24T12:38:10Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-24T12:38:10Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-24T17:48:13Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-24T17:48:13Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-24T21:20:28Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-24T21:20:28Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-24T23:57:59Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-24T23:57:59Z
2026-09-18T11:50:00Z,dpd,15,,2026-09-25T04:16:39Z
2026-09-23T00:50:00Z,dpd,16,,2026-09-25T04:16:39Z
