timestamp_utc,field,old_value,new_value,observed_at_utc
2026-09-13T21:10:00Z,wvht,,2.8,2026-09-14T14:22:40Z
2026-09-13T21:10:00Z,apd,,6.4,2026-09-14T14:22:40Z
2026-09-13T21:10:00Z,mwd,,325,2026-09-14T14:22:40Z
2026-09-14T22:10:00Z,wvht,,2.6,2026-09-15T06:37:16Z
2026-09-14T22:10:00Z,apd,,6.7,2026-09-15T06:37:16Z
2026-09-14T22:10:00Z,mwd,,323,2026-09-15T06:37:16Z
2026-09-15T05:50:00Z,wdir,,310,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,wspd,,8.0,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,gst,,10.0,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,dpd,9,,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,pres,1011.1,1012.1,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,atmp,,19.0,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,wtmp,,21.3,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,dewp,,16.9,2026-09-15T12:51:49Z
2026-09-15T05:50:00Z,dpd,9,,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wdir,,330,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wspd,,5.0,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,gst,,7.0,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,dpd,9,,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,pres,1011.3,1012.3,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,atmp,,19.0,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,wtmp,,21.2,2026-09-15T17:45:18Z
2026-09-15T12:20:00Z,dewp,,15.5,2026-09-15T17:45:18Z
2026-09-15T05:50:00Z,dpd,9,,2026-09-15T22:24:56Z
2026-09-15T12:20:00Z,dpd,9,,2026-09-15T22:24:56Z
2026-09-15T17:10:00Z,wvht,,2.1,2026-09-15T22:24:56Z
2026-09-15T17:10:00Z,apd,,7.2,2026-09-15T22:24:56Z
2026-09-15T17:10:00Z,mwd,,307,2026-09-15T22:24:56Z
2026-09-15T05:50:00Z,dpd,9,,2026-09-16T06:38:34Z
2026-09-15T12:20:00Z,dpd,9,,2026-09-16T06:38:34Z
