timestamp_utc,wtmp,wvht,dpd,mwd,atmp,wspd,wdir
2023-01-01T00:26:00Z,15.9,2.04,14.29,262,,,
2023-01-01T01:26:00Z,15.9,1.91,11.76,288,,,
2023-01-01T02:26:00Z,15.9,1.76,15.38,290,,,
2023-01-01T03:26:00Z,15.9,2.09,11.11,283,,,
2023-01-01T04:26:00Z,15.9,2.33,11.76,292,,,
2023-01-01T05:26:00Z,15.9,2.55,11.76,288,,,
2023-01-01T06:26:00Z,15.9,2.62,11.76,299,,,
2023-01-01T07:26:00Z,15.9,2.90,14.29,299,,,
2023-01-01T08:26:00Z,15.9,3.17,14.29,283,,,
2023-01-01T09:26:00Z,15.8,3.52,14.29,293,,,
2023-01-01T10:26:00Z,15.8,3.77,13.33,283,,,
2023-01-01T11:26:00Z,15.8,4.07,15.38,289,,,
2023-01-01T12:26:00Z,15.7,4.06,14.29,295,,,
2023-01-01T13:26:00Z,15.6,4.04,14.29,296,,,
2023-01-01T14:26:00Z,15.4,4.06,14.29,292,,,
2023-01-01T15:26:00Z,15.3,4.01,14.29,292,,,
2023-01-01T16:26:00Z,15.0,3.94,13.33,289,,,
2023-01-01T17:26:00Z,14.5,4.10,9.88,293,,,
2023-01-01T18:26:00Z,14.1,4.16,9.09,295,,,
2023-01-01T19:26:00Z,14.0,4.51,10.53,290,,,
2023-01-01T20:26:00Z,13.9,4.09,11.11,293,,,
2023-01-01T21:26:00Z,13.9,3.88,11.11,297,,,
2023-01-01T22:26:00Z,13.9,4.11,10.53,297,,,
2023-01-01T23:26:00Z,13.9,4.04,14.29,285,,,
2023-01-02T00:26:00Z,13.8,3.95,12.50,293,,,
2023-01-02T01:26:00Z,13.8,4.26,12.50,289,,,
2023-01-02T02:26:00Z,13.8,4.22,10.53,303,,,
2023-01-02T03:26:00Z,13.7,4.25,11.11,305,,,
2023-01-02T04:26:00Z,13.6,4.41,10.53,302,,,
2023-01-02T05:26:00Z,13.6,3.91,11.11,299,,,
2023-01-02T06:26:00Z,13.6,4.13,11.76,302,,,
2023-01-02T07:26:00Z,13.6,3.63,13.33,295,,,
2023-01-02T08:26:00Z,13.6,4.03,10.53,299,,,
2023-01-02T09:26:00Z,13.6,3.95,12.50,293,,,
2023-01-02T10:26:00Z,13.7,3.67,10.53,297,,,
2023-01-02T11:26:00Z,13.7,3.36,14.29,288,,,
2023-01-02T12:26:00Z,13.8,3.25,14.29,286,,,
2023-01-02T13:26:00Z,13.8,3.08,13.33,288,,,
2023-01-02T14:26:00Z,13.8,2.93,10.53,292,,,
2023-01-02T15:26:00Z,13.8,2.98,11.76,292,,,
2023-01-02T16:26:00Z,13.8,2.58,13.33,288,,,
2023-01-02T17:26:00Z,13.8,2.63,10.53,306,,,
2023-01-02T18:26:00Z,13.8,2.73,11.76,286,,,
2023-01-02T19:26:00Z,13.9,2.59,13.33,278,,,
2023-01-02T20:26:00Z,13.9,2.43,11.11,297,,,
2023-01-02T21:26:00Z,13.8,2.30,14.29,282,,,
2023-01-02T22:26:00Z,13.8,2.32,13.33,289,,,
2023-01-02T23:26:00Z,13.8,2.39,13.33,296,,,
2023-01-03T00:26:00Z,13.8,2.30,13.33,278,,,
2023-01-03T01:26:00Z,13.8,2.36,13.33,288,,,
2023-01-03T02:26:00Z,13.9,2.27,14.29,279,,,
2023-01-03T03:26:00Z,13.9,2.31,12.50,296,,,
2023-01-03T04:26:00Z,13.9,2.08,13.33,282,,,
2023-01-03T05:26:00Z,13.8,2.19,13.33,278,,,
2023-01-03T06:26:00Z,13.7,2.30,13.33,278,,,
2023-01-03T10:26:00Z,13.7,2.41,15.38,292,,,
2023-01-03T11:26:00Z,13.7,2.60,14.29,295,,,
2023-01-03T12:26:00Z,13.8,2.68,14.29,296,,,
2023-01-03T13:26:00Z,14.1,2.85,15.38,295,,,
2023-01-03T14:26:00Z,14.1,2.69,15.38,292,,,
2023-01-03T15:26:00Z,14.3,2.80,16.67,293,,,
2023-01-03T16:26:00Z,14.2,2.81,14.29,300,,,
2023-01-03T17:26:00Z,13.9,3.23,15.38,289,,,
2023-01-03T18:26:00Z,13.8,3.48,14.29,295,,,
2023-01-03T19:26:00Z,13.9,2.85,15.38,285,,,
2023-01-03T20:26:00Z,13.9,3.20,15.38,293,,,
2023-01-03T21:26:00Z,14.1,3.09,15.38,297,,,
2023-01-03T22:26:00Z,14.1,3.11,14.29,296,,,
2023-01-03T23:26:00Z,14.1,3.18,14.29,293,,,
2023-01-04T00:26:00Z,13.9,3.10,14.29,293,,,
2023-01-04T01:26:00Z,13.8,2.90,13.33,290,,,
2023-01-04T02:26:00Z,14.1,3.18,15.38,293,,,
2023-01-04T03:26:00Z,14.2,3.39,14.29,292,,,
2023-01-04T04:26:00Z,14.4,3.02,14.29,290,,,
2023-01-04T05:26:00Z,14.3,3.01,13.33,286,,,
2023-01-04T06:26:00Z,14.2,3.05,15.38,290,,,
2023-01-04T07:26:00Z,14.4,3.24,16.67,289,,,
2023-01-04T08:26:00Z,14.3,3.35,15.38,288,,,
2023-01-04T09:26:00Z,14.2,3.49,15.38,293,,,
2023-01-04T10:26:00Z,14.9,3.20,16.67,296,,,
2023-01-04T11:26:00Z,15.1,3.15,14.29,297,,,
2023-01-04T12:26:00Z,15.1,3.33,14.29,290,,,
2023-01-04T13:26:00Z,15.2,2.94,16.67,286,,,
2023-01-04T14:26:00Z,15.2,2.90,14.29,285,,,
2023-01-04T15:26:00Z,15.2,2.69,16.67,282,,,
2023-01-04T16:26:00Z,15.1,2.60,16.67,279,,,
2023-01-04T17:26:00Z,15.2,2.62,16.67,278,,,
2023-01-04T18:26:00Z,15.1,2.37,14.29,281,,,
2023-01-04T19:26:00Z,15.0,2.57,16.67,288,,,
2023-01-04T20:26:00Z,15.0,2.31,15.38,289,,,
2023-01-04T21:26:00Z,14.8,2.55,15.38,293,,,
2023-01-04T22:26:00Z,14.7,2.38,15.38,299,,,
2023-01-04T23:26:00Z,15.1,2.62,15.38,310,,,
2023-01-05T00:26:00Z,15.2,2.55,14.29,296,,,
2023-01-05T01:26:00Z,15.3,2.50,15.38,296,,,
2023-01-05T02:26:00Z,15.3,2.93,15.38,289,,,
2023-01-05T03:26:00Z,15.2,2.56,15.38,289,,,
2023-01-05T04:26:00Z,15.2,2.56,15.38,285,,,
2023-01-05T05:26:00Z,15.2,2.55,15.38,282,,,
2023-01-05T06:26:00Z,15.2,2.71,16.67,288,,,
2023-01-05T07:26:00Z,15.2,2.69,14.29,288,,,
2023-01-05T08:26:00Z,15.3,3.02,15.38,290,,,
2023-01-05T09:26:00Z,15.4,2.79,14.29,286,,,
2023-01-05T10:26:00Z,15.4,3.25,14.29,290,,,
2023-01-05T11:26:00Z,15.4,3.46,12.50,271,,,
2023-01-05T12:26:00Z,15.4,3.85,13.33,289,,,
2023-01-05T13:26:00Z,15.3,3.46,10.53,255,,,
2023-01-05T14:26:00Z,15.3,3.71,12.50,267,,,
2023-01-05T15:26:00Z,15.4,3.77,11.11,248,,,
2023-01-05T16:26:00Z,15.4,4.22,20.00,278,,,
2023-01-05T17:26:00Z,15.4,4.69,20.00,279,,,
2023-01-05T18:26:00Z,15.4,4.86,18.18,282,,,
2023-01-05T19:26:00Z,15.5,5.56,18.18,281,,,
2023-01-05T20:26:00Z,15.5,5.84,18.18,283,,,
2023-01-05T21:26:00Z,15.5,6.30,18.18,279,,,
2023-01-05T22:26:00Z,15.5,6.29,20.00,283,,,
2023-01-05T23:26:00Z,15.5,7.11,18.18,283,,,
2023-01-06T00:26:00Z,15.5,6.75,18.18,276,,,
2023-01-06T01:26:00Z,15.5,6.47,16.67,281,,,
2023-01-06T02:26:00Z,15.5,6.91,14.29,281,,,
2023-01-06T03:26:00Z,15.5,7.00,18.18,281,,,
2023-01-06T04:26:00Z,15.5,6.70,16.67,282,,,
2023-01-06T05:26:00Z,15.5,6.19,18.18,275,,,
2023-01-06T06:26:00Z,15.4,6.60,18.18,279,,,
2023-01-06T07:26:00Z,15.3,6.16,18.18,285,,,
2023-01-06T08:26:00Z,15.2,5.99,18.18,286,,,
2023-01-06T09:26:00Z,15.1,6.04,18.18,288,,,
2023-01-06T10:26:00Z,14.9,6.30,18.18,289,,,
2023-01-06T11:26:00Z,14.9,6.14,16.67,290,,,
2023-01-06T12:26:00Z,14.8,5.91,16.67,290,,,
2023-01-06T13:26:00Z,14.8,5.31,18.18,303,,,
2023-01-06T14:26:00Z,14.9,6.26,14.29,289,,,
2023-01-06T15:26:00Z,15.0,5.98,16.67,296,,,
2023-01-06T16:26:00Z,15.0,5.36,16.67,290,,,
2023-01-06T17:26:00Z,15.1,5.90,15.38,299,,,
2023-01-06T18:26:00Z,15.1,5.31,16.67,293,,,
2023-01-06T19:26:00Z,15.1,5.85,16.67,295,,,
2023-01-06T20:26:00Z,15.2,5.58,15.38,296,,,
2023-01-06T21:26:00Z,15.1,5.27,15.38,293,,,
2023-01-06T22:26:00Z,15.0,4.54,14.29,293,,,
2023-01-06T23:26:00Z,14.9,4.83,15.38,295,,,
2023-01-07T00:26:00Z,14.9,4.55,15.38,297,,,
2023-01-07T01:26:00Z,15.0,3.93,13.33,282,,,
2023-01-07T02:26:00Z,15.0,3.91,14.29,292,,,
2023-01-07T03:26:00Z,15.2,4.12,15.38,297,,,
2023-01-07T04:26:00Z,15.2,4.16,14.29,288,,,
2023-01-07T05:26:00Z,15.2,3.80,14.29,288,,,
2023-01-07T06:26:00Z,15.2,3.60,14.29,289,,,
2023-01-07T07:26:00Z,15.1,3.49,14.29,303,,,
2023-01-07T08:26:00Z,14.9,3.19,14.29,296,,,
2023-01-07T09:26:00Z,14.8,3.25,14.29,293,,,
2023-01-07T10:26:00Z,14.7,3.28,14.29,292,,,
2023-01-07T11:26:00Z,14.6,3.08,12.50,286,,,
2023-01-07T12:26:00Z,14.6,2.66,13.33,281,,,
2023-01-07T13:26:00Z,14.6,2.33,13.33,300,,,
2023-01-07T14:26:00Z,14.7,2.47,13.33,283,,,
2023-01-07T15:26:00Z,14.9,2.35,12.50,285,,,
2023-01-07T16:26:00Z,15.0,2.12,12.50,297,,,
2023-01-07T17:26:00Z,14.9,1.92,12.50,276,,,
2023-01-07T18:26:00Z,14.9,2.03,12.50,292,,,
2023-01-07T19:26:00Z,14.9,1.93,11.76,279,,,
2023-01-07T20:26:00Z,15.0,2.18,11.76,295,,,
2023-01-07T21:26:00Z,15.0,2.11,11.76,293,,,
2023-01-07T22:26:00Z,15.0,2.52,12.50,285,,,
2023-01-07T23:26:00Z,15.0,2.71,15.38,285,,,
2023-01-08T00:26:00Z,15.0,3.24,11.76,286,,,
2023-01-08T01:26:00Z,14.9,3.07,14.29,283,,,
2023-01-08T02:26:00Z,14.9,3.39,15.38,290,,,
2023-01-08T03:26:00Z,14.8,3.12,16.67,295,,,
2023-01-08T04:26:00Z,14.8,3.13,15.38,292,,,
2023-01-08T05:26:00Z,14.8,3.09,15.38,289,,,
2023-01-08T06:26:00Z,14.8,3.41,14.29,293,,,
2023-01-08T07:26:00Z,14.8,2.81,16.67,306,,,
2023-01-08T08:26:00Z,14.8,2.95,16.67,300,,,
2023-01-08T09:26:00Z,14.8,2.91,15.38,286,,,
2023-01-08T10:26:00Z,14.7,2.98,16.67,297,,,
2023-01-08T11:26:00Z,14.7,2.68,15.38,297,,,
2023-01-08T12:26:00Z,14.7,3.16,13.33,290,,,
2023-01-08T13:26:00Z,14.8,3.48,14.29,296,,,
2023-01-08T14:26:00Z,14.8,3.56,14.29,295,,,
2023-01-08T15:26:00Z,14.8,3.07,14.29,299,,,
2023-01-08T16:26:00Z,14.7,3.83,15.38,295,,,
2023-01-08T17:26:00Z,14.6,3.87,14.29,295,,,
2023-01-08T18:26:00Z,14.5,3.37,14.29,295,,,
2023-01-08T19:26:00Z,14.5,3.78,14.29,295,,,
2023-01-08T20:26:00Z,14.5,3.38,14.29,292,,,
2023-01-08T21:26:00Z,14.5,3.30,15.38,296,,,
2023-01-08T22:26:00Z,14.5,2.96,14.29,295,,,
2023-01-08T23:26:00Z,14.5,2.79,12.50,289,,,
2023-01-09T00:26:00Z,14.4,2.94,14.29,300,,,
2023-01-09T01:26:00Z,14.4,2.68,14.29,297,,,
2023-01-09T02:26:00Z,14.5,2.42,14.29,293,,,
2023-01-09T03:26:00Z,14.6,2.45,13.33,295,,,
2023-01-09T04:26:00Z,14.7,2.29,13.33,289,,,
2023-01-09T05:26:00Z,14.7,2.22,13.33,286,,,
2023-01-09T06:26:00Z,14.8,2.38,13.33,281,,,
2023-01-09T07:26:00Z,14.8,2.22,13.33,302,,,
2023-01-09T08:26:00Z,14.8,2.42,12.50,283,,,
2023-01-09T09:26:00Z,14.8,2.46,12.50,289,,,
2023-01-09T10:26:00Z,14.8,2.47,11.76,286,,,
2023-01-09T11:26:00Z,14.8,2.49,12.50,290,,,
2023-01-09T12:26:00Z,14.8,2.76,11.76,283,,,
2023-01-09T13:26:00Z,14.8,2.72,12.50,295,,,
2023-01-09T14:26:00Z,14.8,3.25,12.50,286,,,
2023-01-09T15:26:00Z,14.8,3.27,14.29,288,,,
2023-01-09T16:26:00Z,14.8,3.72,13.33,289,,,
2023-01-09T17:26:00Z,14.8,3.56,13.33,288,,,
2023-01-09T18:26:00Z,14.8,3.35,13.33,286,,,
2023-01-09T19:26:00Z,14.8,3.27,15.38,282,,,
2023-01-09T20:26:00Z,14.8,2.96,14.29,282,,,
2023-01-09T21:26:00Z,14.8,3.04,14.29,290,,,
2023-01-09T22:26:00Z,14.9,3.44,14.29,288,,,
2023-01-09T23:26:00Z,14.9,3.13,15.38,275,,,
2023-01-10T00:26:00Z,14.9,3.10,14.29,289,,,
2023-01-10T01:26:00Z,14.9,3.42,14.29,292,,,
2023-01-10T02:26:00Z,14.8,3.65,14.29,296,,,
2023-01-10T03:26:00Z,14.8,3.18,14.29,292,,,
2023-01-10T04:26:00Z,14.8,3.56,14.29,297,,,
2023-01-10T05:26:00Z,14.8,3.78,13.33,293,,,
2023-01-10T06:26:00Z,14.6,4.15,14.29,300,,,
2023-01-10T07:26:00Z,14.5,4.04,15.38,296,,,
2023-01-10T08:26:00Z,14.5,3.67,13.33,295,,,
2023-01-10T09:26:00Z,14.5,3.55,13.33,293,,,
2023-01-10T10:26:00Z,14.5,3.82,14.29,292,,,
2023-01-10T11:26:00Z,14.6,3.50,14.29,290,,,
2023-01-10T12:26:00Z,14.6,3.23,13.33,290,,,
2023-01-10T13:26:00Z,14.6,3.01,14.29,296,,,
2023-01-10T14:26:00Z,14.6,3.52,14.29,306,,,
2023-01-10T15:26:00Z,14.6,3.32,12.50,295,,,
2023-01-10T16:26:00Z,14.9,3.06,14.29,292,,,
2023-01-10T17:26:00Z,14.9,3.21,13.33,292,,,
2023-01-10T18:26:00Z,14.9,2.68,11.11,271,,,
2023-01-10T19:26:00Z,14.9,3.31,12.50,283,,,
2023-01-10T20:26:00Z,14.9,3.03,13.33,293,,,
2023-01-10T21:26:00Z,14.9,3.12,12.50,295,,,
2023-01-10T22:26:00Z,14.8,3.01,12.50,299,,,
2023-01-10T23:26:00Z,14.8,3.44,11.76,292,,,
2023-01-11T00:26:00Z,14.7,3.20,12.50,285,,,
2023-01-11T01:26:00Z,14.6,3.19,10.53,290,,,
2023-01-11T02:26:00Z,14.6,3.15,13.33,292,,,
2023-01-11T03:26:00Z,14.6,3.66,12.50,305,,,
2023-01-11T04:26:00Z,14.6,4.18,12.50,302,,,
2023-01-11T05:26:00Z,14.6,4.13,14.29,285,,,
2023-01-11T06:26:00Z,14.7,4.61,13.33,288,,,
2023-01-11T07:26:00Z,14.8,5.18,14.29,288,,,
2023-01-11T08:26:00Z,14.8,4.39,14.29,283,,,
2023-01-11T09:26:00Z,14.8,4.41,15.38,290,,,
2023-01-11T10:26:00Z,14.7,4.32,14.29,289,,,
2023-01-11T11:26:00Z,14.7,4.05,14.29,283,,,
2023-01-11T12:26:00Z,14.7,4.17,12.50,286,,,
2023-01-11T13:26:00Z,14.6,4.24,15.38,293,,,
2023-01-11T14:26:00Z,14.6,4.13,13.33,295,,,
2023-01-11T15:26:00Z,14.7,4.36,14.29,295,,,
2023-01-11T16:26:00Z,14.7,4.33,14.29,295,,,
2023-01-11T17:26:00Z,14.7,4.76,14.29,300,,,
2023-01-11T18:26:00Z,14.8,4.44,14.29,296,,,
2023-01-11T19:26:00Z,14.9,4.73,14.29,290,,,
2023-01-11T20:26:00Z,15.0,5.18,14.29,295,,,
2023-01-11T21:26:00Z,15.0,4.63,15.38,296,,,
2023-01-11T22:26:00Z,14.9,4.02,15.38,296,,,
2023-01-11T23:26:00Z,15.0,4.26,15.38,295,,,
2023-01-12T00:26:00Z,14.9,4.03,15.38,295,,,
2023-01-12T01:26:00Z,14.9,4.23,15.38,295,,,
2023-01-12T02:26:00Z,14.9,3.72,15.38,288,,,
2023-01-12T03:26:00Z,14.9,3.73,14.29,292,,,
2023-01-12T04:26:00Z,14.9,3.49,15.38,293,,,
2023-01-12T05:26:00Z,14.9,3.12,14.29,288,,,
2023-01-12T06:26:00Z,14.8,3.05,15.38,290,,,
2023-01-12T07:26:00Z,14.8,3.08,15.38,289,,,
2023-01-12T08:26:00Z,14.7,2.71,14.29,289,,,
2023-01-12T09:26:00Z,14.7,2.58,14.29,297,,,
2023-01-12T10:26:00Z,14.6,2.78,14.29,292,,,
2023-01-12T11:26:00Z,14.5,2.60,13.33,296,,,
2023-01-12T12:26:00Z,14.5,2.49,13.33,300,,,
2023-01-12T13:26:00Z,14.4,2.52,13.33,293,,,
2023-01-12T14:26:00Z,14.4,2.79,13.33,296,,,
2023-01-12T15:26:00Z,14.4,2.58,14.29,288,,,
2023-01-12T16:26:00Z,14.4,2.58,13.33,295,,,
2023-01-12T17:26:00Z,15.0,2.54,12.50,292,,,
2023-01-12T18:26:00Z,15.1,2.27,14.29,286,,,
2023-01-12T19:26:00Z,15.3,2.38,14.29,286,,,
2023-01-12T20:26:00Z,15.5,2.32,13.33,289,,,
2023-01-12T21:26:00Z,15.5,2.50,14.29,285,,,
2023-01-12T22:26:00Z,15.4,2.38,13.33,282,,,
2023-01-12T23:26:00Z,15.0,2.34,13.33,285,,,
2023-01-13T00:26:00Z,14.8,2.23,12.50,286,,,
2023-01-13T01:26:00Z,14.6,2.26,22.22,289,,,
2023-01-13T02:26:00Z,14.5,2.09,22.22,286,,,
2023-01-13T03:26:00Z,14.5,2.74,22.22,288,,,
2023-01-13T04:26:00Z,14.4,2.99,22.22,289,,,
2023-01-13T05:26:00Z,15.2,2.78,22.22,286,,,
2023-01-13T06:26:00Z,15.1,2.74,22.22,286,,,
2023-01-13T07:26:00Z,15.0,3.16,22.22,283,,,
2023-01-13T08:26:00Z,14.9,2.97,22.22,283,,,
2023-01-13T09:26:00Z,15.0,3.65,20.00,282,,,
2023-01-13T10:26:00Z,15.0,3.74,20.00,288,,,
2023-01-13T11:26:00Z,15.0,4.06,20.00,286,,,
2023-01-13T12:26:00Z,14.9,4.42,20.00,283,,,
2023-01-13T13:26:00Z,14.9,4.15,20.00,283,,,
2023-01-13T14:26:00Z,14.6,4.29,20.00,283,,,
2023-01-13T15:26:00Z,14.5,3.89,20.00,286,,,
2023-01-13T16:26:00Z,14.7,4.52,20.00,292,,,
2023-01-13T17:26:00Z,14.9,5.51,20.00,282,,,
2023-01-13T18:26:00Z,14.8,4.56,20.00,285,,,
2023-01-13T19:26:00Z,14.8,5.06,18.18,286,,,
2023-01-13T20:26:00Z,14.9,4.23,20.00,281,,,
2023-01-13T21:26:00Z,14.7,4.60,18.18,283,,,
2023-01-13T22:26:00Z,14.9,5.15,16.67,288,,,
2023-01-13T23:26:00Z,15.3,4.17,18.18,295,,,
2023-01-14T00:26:00Z,15.3,4.86,18.18,286,,,
2023-01-14T01:26:00Z,15.0,4.39,16.67,289,,,
2023-01-14T02:26:00Z,14.8,4.47,16.67,292,,,
2023-01-14T03:26:00Z,14.8,4.57,15.38,288,,,
2023-01-14T04:26:00Z,14.8,4.47,18.18,289,,,
2023-01-14T05:26:00Z,14.6,4.42,16.67,281,,,
2023-01-14T06:26:00Z,14.5,4.52,16.67,289,,,
2023-01-14T07:26:00Z,14.5,4.14,18.18,285,,,
2023-01-14T08:26:00Z,14.4,4.29,18.18,283,,,
2023-01-14T09:26:00Z,14.4,4.75,18.18,282,,,
2023-01-14T10:26:00Z,14.5,4.13,15.38,282,,,
2023-01-14T11:26:00Z,14.6,4.25,15.38,276,,,
2023-01-14T12:26:00Z,14.8,4.34,16.67,285,,,
2023-01-14T13:26:00Z,14.9,3.94,16.67,275,,,
2023-01-14T14:26:00Z,14.7,4.02,16.67,286,,,
2023-01-14T15:26:00Z,14.5,4.15,15.38,288,,,
2023-01-14T16:26:00Z,14.3,3.68,18.18,288,,,
2023-01-14T17:26:00Z,14.2,4.10,16.67,290,,,
2023-01-14T18:26:00Z,14.3,4.02,16.67,289,,,
2023-01-14T19:26:00Z,14.6,3.99,16.67,296,,,
2023-01-14T20:26:00Z,14.8,3.74,18.18,296,,,
2023-01-14T21:26:00Z,14.7,3.45,16.67,295,,,
2023-01-14T22:26:00Z,14.5,3.30,15.38,286,,,
2023-01-14T23:26:00Z,14.5,3.98,14.29,290,,,
2023-01-15T00:26:00Z,14.6,3.88,16.67,282,,,
2023-01-15T01:26:00Z,14.5,3.59,15.38,288,,,
2023-01-15T02:26:00Z,14.4,3.56,14.29,281,,,
2023-01-15T03:26:00Z,14.4,3.17,13.33,274,,,
2023-01-15T04:26:00Z,14.4,3.38,15.38,283,,,
2023-01-15T05:26:00Z,14.4,3.45,14.29,285,,,
2023-01-15T06:26:00Z,14.4,3.29,14.29,282,,,
2023-01-15T07:26:00Z,14.4,3.09,14.29,292,,,
2023-01-15T08:26:00Z,14.3,3.16,15.38,279,,,
2023-01-15T09:26:00Z,14.4,3.04,13.33,278,,,
2023-01-15T10:26:00Z,14.5,3.21,14.29,272,,,
2023-01-15T11:26:00Z,14.5,3.03,14.29,279,,,
2023-01-15T12:26:00Z,14.5,3.25,14.29,279,,,
2023-01-15T13:26:00Z,14.5,2.81,15.38,288,,,
2023-01-15T14:26:00Z,14.5,2.94,15.38,275,,,
2023-01-15T15:26:00Z,14.4,2.91,14.29,296,,,
2023-01-15T16:26:00Z,14.4,3.16,13.33,283,,,
2023-01-15T17:26:00Z,14.4,2.97,14.29,302,,,
2023-01-15T18:26:00Z,14.5,2.93,14.29,309,,,
2023-01-15T19:26:00Z,14.5,3.44,14.29,310,,,
2023-01-15T20:26:00Z,14.5,3.42,14.29,307,,,
2023-01-15T21:26:00Z,14.5,3.38,14.29,302,,,
2023-01-15T22:26:00Z,14.5,3.43,13.33,306,,,
2023-01-15T23:26:00Z,14.5,3.65,13.33,296,,,
