timestamp_utc,wtmp,wvht,dpd,mwd,atmp,wspd,wdir
2023-01-01T00:00:00Z,,2.19,10.81,263,14.5,2.8,178
2023-01-01T01:00:00Z,,1.80,12.12,273,14.7,6.5,204
2023-01-01T02:00:00Z,,2.20,13.79,245,14.6,5.5,191
2023-01-01T03:00:00Z,,1.94,11.43,264,14.9,6.8,193
2023-01-01T04:00:00Z,,2.27,14.81,248,14.9,7.3,208
2023-01-01T05:00:00Z,,2.10,11.43,277,14.7,7.1,207
2023-01-01T06:00:00Z,,2.27,12.12,276,14.0,6.4,251
2023-01-01T07:00:00Z,,2.59,14.81,283,14.6,9.0,275
2023-01-01T08:00:00Z,,2.85,14.81,274,13.9,10.7,307
2023-01-01T09:00:00Z,,2.42,13.79,282,14.0,9.9,302
2023-01-01T10:00:00Z,,2.67,13.79,289,13.9,11.6,311
2023-01-01T11:00:00Z,,3.45,14.81,290,14.0,10.5,312
2023-01-01T12:00:00Z,,3.35,7.69,285,13.8,10.5,307
2023-01-01T13:00:00Z,,3.73,14.81,287,13.7,11.6,299
2023-01-01T14:00:00Z,,4.00,14.81,293,13.6,10.6,304
2023-01-01T15:00:00Z,,3.95,9.09,305,13.9,11.4,303
2023-01-01T16:00:00Z,,4.33,9.09,297,13.7,11.7,305
2023-01-01T17:00:00Z,,4.28,8.33,295,13.6,10.2,308
2023-01-01T18:00:00Z,,4.22,8.33,289,13.8,11.0,301
2023-01-01T19:00:00Z,,4.26,8.33,295,13.8,12.4,304
2023-01-01T20:00:00Z,,4.31,10.81,287,13.7,11.5,302
2023-01-01T21:00:00Z,,4.88,9.09,291,13.6,11.6,303
2023-01-01T22:00:00Z,,4.68,10.81,299,13.7,11.5,300
2023-01-01T23:00:00Z,,4.34,12.90,306,13.6,11.0,304
2023-01-02T00:00:00Z,,4.60,10.81,286,13.6,12.0,295
2023-01-02T01:00:00Z,,4.34,12.12,296,13.6,11.8,297
2023-01-02T02:00:00Z,,4.74,10.81,292,13.6,11.9,295
2023-01-02T03:00:00Z,,4.66,10.00,300,13.5,12.1,301
2023-01-02T04:00:00Z,,4.24,10.81,306,13.4,11.7,295
2023-01-02T05:00:00Z,,4.55,10.81,304,13.4,10.6,302
2023-01-02T06:00:00Z,,4.48,13.79,291,13.3,10.1,309
2023-01-02T07:00:00Z,,4.35,12.12,294,13.4,9.7,303
