timestamp_utc,wtmp,wvht,dpd,mwd,atmp,wspd,wdir
2023-01-01T00:00:00Z,,2.94,14.81,238,,5.9,208
2023-01-01T01:00:00Z,,2.72,12.90,250,,6.9,197
2023-01-01T02:00:00Z,,2.94,13.79,254,,7.8,205
2023-01-01T03:00:00Z,,3.03,12.12,244,,8.2,198
2023-01-01T04:00:00Z,,3.03,12.90,254,,9.2,201
2023-01-01T05:00:00Z,,3.13,12.90,250,,9.9,194
2023-01-01T06:00:00Z,,3.00,10.81,256,,9.2,195
2023-01-01T07:00:00Z,,3.23,13.79,252,,10.3,185
2023-01-01T08:00:00Z,,3.34,12.90,242,,11.7,174
2023-01-01T09:00:00Z,,3.23,13.79,249,,11.6,175
2023-01-01T10:00:00Z,,3.30,13.79,259,,12.1,178
2023-01-01T11:00:00Z,,3.51,13.79,270,,12.0,174
2023-01-01T12:00:00Z,,3.67,13.79,259,,12.3,179
2023-01-01T13:00:00Z,,4.04,13.79,258,,12.8,170
2023-01-01T14:00:00Z,,4.17,12.90,267,,13.7,177
2023-01-01T15:00:00Z,,4.21,13.79,242,,13.7,191
2023-01-01T16:00:00Z,,4.41,13.79,244,,14.1,188
2023-01-01T17:00:00Z,,4.73,12.90,249,,14.6,187
2023-01-01T18:00:00Z,,5.13,13.79,262,,14.3,190
2023-01-01T19:00:00Z,,5.09,12.90,249,,10.3,226
2023-01-01T20:00:00Z,,5.38,12.90,252,,3.8,202
2023-01-01T21:00:00Z,,5.57,12.90,253,,4.6,237
2023-01-01T22:00:00Z,,5.52,12.90,257,,5.0,181
2023-01-01T23:00:00Z,,5.94,13.79,261,,7.1,231
2023-01-02T00:00:00Z,,6.03,13.79,266,,9.7,267
2023-01-02T01:00:00Z,,6.49,13.79,262,,10.5,275
2023-01-02T02:00:00Z,,5.21,14.81,276,,9.0,281
2023-01-02T03:00:00Z,,5.22,14.81,284,,8.9,280
2023-01-02T04:00:00Z,,5.01,12.90,268,,9.0,279
2023-01-02T05:00:00Z,,4.85,14.81,283,,7.7,273
2023-01-02T06:00:00Z,,4.89,14.81,274,,7.0,269
2023-01-02T07:00:00Z,,4.84,14.81,272,,7.5,259
2023-01-02T08:00:00Z,,5.02,14.81,262,,7.1,260
2023-01-02T09:00:00Z,,4.75,14.81,259,,7.5,265
2023-01-02T10:00:00Z,,3.96,16.00,258,,7.0,267
2023-01-02T11:00:00Z,,4.75,14.81,247,,6.3,272
2023-01-02T12:00:00Z,,5.31,14.81,247,,3.6,265
2023-01-02T13:00:00Z,,5.36,14.81,246,,3.0,239
2023-01-02T14:00:00Z,,5.38,13.79,250,,5.8,217
2023-01-02T15:00:00Z,,5.12,16.00,245,,4.6,230
2023-01-02T16:00:00Z,,5.43,14.81,261,,7.0,234
2023-01-02T17:00:00Z,,5.40,14.81,258,,5.6,218
2023-01-02T18:00:00Z,,5.25,16.00,262,,6.1,185
2023-01-02T19:00:00Z,,4.93,14.81,264,,8.3,173
2023-01-02T20:00:00Z,,5.09,16.00,255,,8.9,183
2023-01-02T21:00:00Z,,4.69,16.00,269,,9.8,166
2023-01-02T22:00:00Z,,4.28,16.00,275,,12.5,170
2023-01-02T23:00:00Z,,,,,,13.5,163
2023-01-03T00:00:00Z,,4.84,16.00,270,,11.1,181
2023-01-03T01:00:00Z,,4.44,14.81,276,,9.0,221
2023-01-03T02:00:00Z,,4.65,16.00,264,,13.0,266
2023-01-03T03:00:00Z,,4.85,16.00,252,,10.7,275
2023-01-03T04:00:00Z,,4.70,16.00,243,,11.2,269
2023-01-03T05:00:00Z,,5.17,16.00,243,,9.6,272
2023-01-03T06:00:00Z,,4.59,13.79,245,,10.0,267
2023-01-03T07:00:00Z,,4.76,14.81,252,,10.0,280
2023-01-03T08:00:00Z,,4.94,14.81,252,,10.3,267
2023-01-03T09:00:00Z,,4.93,14.81,245,,8.9,267
2023-01-03T10:00:00Z,,4.89,10.81,253,,8.4,259
2023-01-03T11:00:00Z,,4.97,16.00,251,,8.1,241
2023-01-03T12:00:00Z,,5.07,13.79,261,,8.7,252
2023-01-03T13:00:00Z,,4.29,16.00,266,,7.9,249
2023-01-03T14:00:00Z,,4.53,12.90,259,,7.5,241
2023-01-03T15:00:00Z,,4.29,16.00,260,,6.0,237
2023-01-03T16:00:00Z,,4.12,14.81,257,,5.0,219
2023-01-03T17:00:00Z,,3.85,12.90,263,,5.5,184
2023-01-03T18:00:00Z,,4.27,16.00,279,,6.5,162
2023-01-03T19:00:00Z,,4.19,14.81,257,,7.7,166
2023-01-03T20:00:00Z,,3.68,16.00,252,,7.8,161
2023-01-03T21:00:00Z,,3.97,13.79,251,,9.1,146
2023-01-03T22:00:00Z,,4.08,14.81,241,,10.5,151
2023-01-03T23:00:00Z,,4.06,13.79,245,,11.1,138
2023-01-04T00:00:00Z,,3.81,13.79,250,,11.1,125
2023-01-04T01:00:00Z,,4.23,14.81,236,,14.3,114
2023-01-04T02:00:00Z,,3.61,13.79,239,,14.9,113
2023-01-04T03:00:00Z,,4.09,13.79,264,,15.7,113
2023-01-04T04:00:00Z,,3.96,13.79,241,,16.0,112
2023-01-04T05:00:00Z,,3.83,7.14,134,,16.3,98
2023-01-04T06:00:00Z,,4.85,8.33,135,,17.1,90
2023-01-04T07:00:00Z,,5.16,8.33,134,,18.4,87
2023-01-04T08:00:00Z,,5.56,9.09,127,,17.1,108
2023-01-04T09:00:00Z,,4.95,9.09,132,,7.7,99
2023-01-04T10:00:00Z,,5.27,10.00,116,,7.5,72
2023-01-04T11:00:00Z,,5.67,10.00,134,,3.6,68
2023-01-04T12:00:00Z,,4.81,10.00,110,,8.4,63
2023-01-04T13:00:00Z,,5.01,10.00,126,,7.7,55
2023-01-04T14:00:00Z,,4.59,10.00,139,,10.1,31
2023-01-04T15:00:00Z,,5.81,10.00,121,,9.4,7
2023-01-04T16:00:00Z,,5.93,11.43,172,,11.9,356
2023-01-04T17:00:00Z,,5.50,11.43,157,,12.7,345
2023-01-04T18:00:00Z,,5.89,12.12,180,,14.1,335
2023-01-04T19:00:00Z,,5.80,12.90,233,,16.4,325
2023-01-04T20:00:00Z,,7.32,12.12,278,,20.8,322
2023-01-04T21:00:00Z,,7.96,12.12,292,,20.7,317
2023-01-04T22:00:00Z,,8.01,12.12,299,,20.8,317
2023-01-04T23:00:00Z,,8.39,10.81,314,,20.5,303
2023-01-05T00:00:00Z,,8.19,11.43,305,,20.4,300
2023-01-05T01:00:00Z,,8.68,12.90,306,,20.8,299
2023-01-05T02:00:00Z,,9.22,12.90,304,,20.6,297
2023-01-05T03:00:00Z,,9.31,10.81,309,,21.9,294
2023-01-05T04:00:00Z,,9.39,12.90,308,,19.8,294
2023-01-05T05:00:00Z,,11.47,13.79,298,,20.2,288
2023-01-05T06:00:00Z,,10.48,13.79,300,,19.8,290
2023-01-05T07:00:00Z,,11.62,14.81,295,,18.4,288
2023-01-05T08:00:00Z,,9.40,12.90,294,,17.4,286
2023-01-05T09:00:00Z,,10.78,13.79,305,,17.1,280
2023-01-05T10:00:00Z,,9.55,13.79,295,,15.3,279
2023-01-05T11:00:00Z,,8.31,13.79,307,,14.6,277
2023-01-05T12:00:00Z,,7.96,12.90,294,,12.9,276
2023-01-05T13:00:00Z,,6.83,12.12,289,,12.6,271
2023-01-05T14:00:00Z,,6.58,12.90,311,,10.9,264
2023-01-05T15:00:00Z,,6.27,12.12,300,,9.9,252
2023-01-05T16:00:00Z,,6.94,12.12,305,,10.0,243
2023-01-05T17:00:00Z,,5.44,12.12,285,,9.0,237
2023-01-05T18:00:00Z,,5.01,12.12,302,,8.6,213
2023-01-05T19:00:00Z,,4.66,11.43,293,,9.0,205
2023-01-05T20:00:00Z,,4.69,11.43,295,,9.3,201
2023-01-05T21:00:00Z,,4.75,11.43,307,,11.3,199
2023-01-05T22:00:00Z,,4.13,11.43,305,,11.6,191
2023-01-05T23:00:00Z,,4.10,11.43,280,,14.3,182
2023-01-06T00:00:00Z,,4.07,11.43,282,,16.0,194
2023-01-06T01:00:00Z,,4.98,11.43,255,,14.7,224
2023-01-06T02:00:00Z,,5.00,11.43,242,,11.5,206
2023-01-06T03:00:00Z,,4.91,10.81,254,,12.8,184
2023-01-06T04:00:00Z,,4.93,10.00,213,,16.2,208
2023-01-06T05:00:00Z,,5.71,10.81,228,,17.7,236
2023-01-06T06:00:00Z,,6.40,10.81,229,,16.3,234
2023-01-06T07:00:00Z,,6.86,11.43,229,,16.1,237
2023-01-06T08:00:00Z,,6.83,12.12,229,,16.2,246
2023-01-06T09:00:00Z,,7.06,12.12,246,,15.9,252
2023-01-06T10:00:00Z,,6.87,12.12,233,,17.7,248
2023-01-06T11:00:00Z,,7.02,12.90,239,,17.6,242
2023-01-06T12:00:00Z,,8.24,12.90,249,,17.4,245
2023-01-06T13:00:00Z,,8.99,12.90,242,,16.6,249
2023-01-06T14:00:00Z,,8.76,14.81,252,,16.7,253
2023-01-06T15:00:00Z,,9.79,14.81,255,,16.5,257
2023-01-06T16:00:00Z,,11.21,14.81,261,,14.8,258
2023-01-06T17:00:00Z,,10.25,16.00,260,,15.0,260
2023-01-06T18:00:00Z,,9.65,14.81,261,,13.9,257
2023-01-06T19:00:00Z,,8.52,16.00,258,,14.5,251
2023-01-06T20:00:00Z,,8.61,14.81,257,,13.6,256
2023-01-06T21:00:00Z,,8.07,14.81,258,,13.3,258
2023-01-06T22:00:00Z,,8.25,14.81,256,,11.4,257
2023-01-06T23:00:00Z,,8.13,14.81,259,,11.0,246
2023-01-07T00:00:00Z,,7.37,13.79,258,,11.2,252
2023-01-07T01:00:00Z,,6.91,13.79,261,,10.2,246
2023-01-07T02:00:00Z,,6.67,12.90,259,,9.0,249
2023-01-07T03:00:00Z,,6.40,13.79,256,,7.0,243
2023-01-07T04:00:00Z,,5.67,13.79,271,,6.5,202
2023-01-07T05:00:00Z,,5.31,11.43,261,,6.8,189
2023-01-07T06:00:00Z,,4.62,11.43,273,,7.0,173
2023-01-07T07:00:00Z,,5.09,12.90,271,,8.6,168
2023-01-07T08:00:00Z,,4.91,12.90,263,,10.5,161
2023-01-07T09:00:00Z,,5.04,12.90,257,,11.6,162
2023-01-07T10:00:00Z,,4.78,12.90,265,,12.0,163
2023-01-07T11:00:00Z,,4.38,12.12,264,,12.6,160
2023-01-07T12:00:00Z,,4.59,11.43,260,,12.4,164
2023-01-07T13:00:00Z,,3.95,12.90,254,,13.8,161
2023-01-07T14:00:00Z,,4.47,12.12,260,,8.0,191
2023-01-07T15:00:00Z,,4.17,12.90,259,,8.8,229
2023-01-07T16:00:00Z,,4.44,12.12,266,,6.7,255
2023-01-07T17:00:00Z,,4.14,12.12,252,,6.8,228
2023-01-07T18:00:00Z,,3.69,11.43,249,,8.0,248
2023-01-07T19:00:00Z,,3.74,11.43,258,,11.4,262
2023-01-07T20:00:00Z,,4.13,12.12,268,,13.6,270
2023-01-07T21:00:00Z,,4.10,9.09,246,,14.9,274
