timestamp_utc,wtmp,wvht,dpd,mwd,atmp,wspd,wdir
2023-01-01T00:00:00Z,14.8,2.97,14.81,282,14.0,9.3,346
2023-01-01T01:00:00Z,14.7,3.16,12.12,294,13.9,8.1,350
2023-01-01T02:00:00Z,14.6,3.37,13.79,289,13.7,8.5,348
2023-01-01T03:00:00Z,14.6,3.52,11.43,296,13.6,7.6,348
2023-01-01T04:00:00Z,14.6,3.54,13.79,290,13.6,8.1,352
2023-01-01T05:00:00Z,14.6,3.59,13.79,284,13.4,6.9,5
2023-01-01T06:00:00Z,14.6,3.21,13.79,289,13.4,6.8,358
2023-01-01T07:00:00Z,14.6,3.29,13.79,290,13.2,6.4,5
2023-01-01T08:00:00Z,14.6,3.20,13.79,282,13.0,5.7,351
2023-01-01T09:00:00Z,14.6,3.12,12.90,289,13.0,5.5,344
2023-01-01T10:00:00Z,14.6,3.28,11.43,285,13.0,4.8,342
2023-01-01T11:00:00Z,14.6,,,,13.0,3.5,339
2023-01-01T12:00:00Z,14.6,2.72,13.79,272,12.9,3.7,315
2023-01-01T13:00:00Z,14.6,2.82,14.81,291,12.8,3.4,324
2023-01-01T14:00:00Z,14.6,2.75,14.81,279,12.7,2.7,320
2023-01-01T15:00:00Z,14.6,2.58,13.79,283,12.6,1.9,333
2023-01-01T16:00:00Z,14.6,2.68,13.79,293,12.6,0.9,11
2023-01-01T17:00:00Z,14.6,2.62,14.81,290,12.6,0.2,201
2023-01-01T18:00:00Z,14.6,2.68,13.79,293,12.8,1.8,182
2023-01-01T19:00:00Z,14.6,2.48,13.79,279,12.9,3.5,186
2023-01-01T20:00:00Z,14.5,2.62,13.79,295,13.1,4.3,214
2023-01-01T21:00:00Z,14.4,2.87,12.90,292,13.3,6.1,232
2023-01-01T22:00:00Z,14.4,2.79,13.79,282,13.4,5.9,218
2023-01-01T23:00:00Z,14.4,3.13,12.90,288,13.4,6.6,223
2023-01-02T00:00:00Z,14.4,2.65,12.90,284,13.4,5.7,196
2023-01-02T01:00:00Z,14.4,2.85,12.90,277,13.4,6.7,201
2023-01-02T02:00:00Z,14.4,2.86,12.12,284,13.5,6.3,182
2023-01-02T03:00:00Z,14.4,2.68,13.79,281,13.7,7.4,182
2023-01-02T04:00:00Z,14.3,2.54,12.90,274,13.8,8.4,176
2023-01-02T05:00:00Z,14.3,2.66,13.79,263,14.0,9.0,172
2023-01-02T06:00:00Z,14.3,2.39,12.90,262,14.3,9.7,173
2023-01-02T07:00:00Z,14.4,2.57,14.81,278,14.5,10.2,167
2023-01-02T08:00:00Z,14.3,2.84,14.81,285,14.5,11.9,175
2023-01-02T09:00:00Z,14.3,2.78,12.90,275,14.7,13.2,176
2023-01-02T10:00:00Z,14.3,3.46,13.79,277,14.3,13.4,183
2023-01-02T11:00:00Z,14.3,3.26,14.81,290,14.6,12.6,199
2023-01-02T12:00:00Z,14.3,3.37,12.90,288,14.2,11.7,305
2023-01-02T13:00:00Z,14.2,4.07,13.79,282,14.4,11.2,307
2023-01-02T14:00:00Z,14.2,4.54,13.79,299,14.3,11.2,310
2023-01-02T15:00:00Z,14.1,4.75,14.81,305,14.2,10.3,309
2023-01-02T16:00:00Z,14.2,5.25,13.79,301,14.2,9.1,321
2023-01-02T17:00:00Z,14.2,5.06,14.81,300,14.1,8.7,318
2023-01-02T18:00:00Z,14.2,4.45,13.79,296,14.1,7.0,328
2023-01-02T19:00:00Z,14.1,5.15,14.81,293,14.1,5.1,317
2023-01-02T20:00:00Z,14.1,4.54,13.79,292,14.0,5.6,310
2023-01-02T21:00:00Z,14.2,4.63,13.79,278,14.0,4.5,312
2023-01-02T22:00:00Z,14.2,4.52,16.00,293,14.0,3.5,303
2023-01-02T23:00:00Z,14.2,4.23,14.81,289,14.0,4.3,289
2023-01-03T00:00:00Z,14.2,3.97,14.81,295,14.2,3.4,274
2023-01-03T01:00:00Z,14.2,3.71,14.81,285,14.1,3.3,248
2023-01-03T02:00:00Z,14.2,4.09,14.81,273,13.9,3.3,244
2023-01-03T03:00:00Z,14.2,4.14,14.81,278,13.9,3.6,229
2023-01-03T04:00:00Z,14.1,3.99,14.81,282,13.9,4.0,202
2023-01-03T05:00:00Z,14.1,4.20,14.81,283,13.8,5.3,192
2023-01-03T06:00:00Z,14.2,4.34,14.81,283,13.8,6.9,184
2023-01-03T07:00:00Z,14.2,4.47,14.81,290,13.9,9.0,188
2023-01-03T08:00:00Z,14.1,4.62,14.81,294,13.8,10.2,179
2023-01-03T09:00:00Z,14.1,5.16,14.81,298,14.0,10.1,181
2023-01-03T10:00:00Z,14.1,5.23,14.81,291,14.4,10.2,193
2023-01-03T11:00:00Z,14.1,4.52,14.81,299,14.0,11.9,216
2023-01-03T12:00:00Z,14.3,4.54,12.90,295,13.7,6.5,239
2023-01-03T13:00:00Z,14.6,4.30,14.81,299,14.8,5.8,246
2023-01-03T14:00:00Z,14.7,4.11,16.00,294,14.8,5.1,267
2023-01-03T15:00:00Z,14.8,3.89,16.00,294,14.9,6.6,297
2023-01-03T16:00:00Z,14.9,3.80,16.00,295,14.8,4.9,296
2023-01-03T17:00:00Z,14.9,3.45,14.81,284,14.7,3.6,292
2023-01-03T18:00:00Z,15.0,3.28,17.39,303,14.9,2.4,275
2023-01-03T19:00:00Z,15.0,3.12,16.00,292,15.0,1.5,292
2023-01-03T20:00:00Z,15.1,3.41,14.81,293,14.9,2.4,170
2023-01-03T21:00:00Z,15.2,3.90,16.00,299,14.6,2.9,139
2023-01-03T22:00:00Z,15.1,3.56,14.81,297,14.2,3.8,134
2023-01-03T23:00:00Z,15.1,4.49,14.81,294,14.3,4.3,133
2023-01-04T00:00:00Z,15.0,4.18,13.79,289,14.1,5.2,125
2023-01-04T01:00:00Z,14.8,4.04,16.00,293,14.1,6.9,117
2023-01-04T02:00:00Z,14.5,3.98,14.81,289,14.0,8.2,128
2023-01-04T03:00:00Z,14.5,4.11,14.81,287,14.1,7.9,139
2023-01-04T04:00:00Z,14.5,3.50,14.81,285,14.2,7.4,135
2023-01-04T05:00:00Z,14.9,3.52,14.81,279,14.7,10.2,147
2023-01-04T06:00:00Z,15.0,3.25,12.90,288,15.0,11.6,146
2023-01-04T07:00:00Z,15.0,3.27,16.00,278,15.0,10.4,147
2023-01-04T08:00:00Z,15.0,3.43,14.81,273,15.1,13.1,144
2023-01-04T09:00:00Z,15.1,3.53,6.67,148,15.3,13.6,145
2023-01-04T10:00:00Z,15.1,4.02,7.14,153,15.5,14.0,163
2023-01-04T11:00:00Z,15.0,3.96,8.33,152,16.0,12.3,167
2023-01-04T12:00:00Z,15.0,3.87,9.09,156,14.9,13.1,173
2023-01-04T13:00:00Z,15.0,4.39,8.33,167,15.2,13.5,178
2023-01-04T14:00:00Z,14.9,4.35,9.09,163,15.1,13.7,181
2023-01-04T15:00:00Z,14.9,4.46,9.09,161,15.3,13.2,183
2023-01-04T16:00:00Z,14.9,5.23,9.09,175,15.2,14.1,190
2023-01-04T17:00:00Z,14.9,4.79,9.09,191,15.1,15.0,191
2023-01-04T18:00:00Z,14.9,5.40,8.33,196,15.0,16.4,194
2023-01-04T19:00:00Z,15.0,6.50,10.81,216,14.6,15.3,191
2023-01-04T20:00:00Z,15.0,6.38,10.81,226,14.7,15.7,184
2023-01-04T21:00:00Z,15.0,7.41,12.12,231,14.8,17.6,185
2023-01-04T22:00:00Z,15.0,9.64,13.79,255,14.7,16.6,186
2023-01-04T23:00:00Z,15.0,10.32,16.00,252,14.5,18.2,187
2023-01-05T00:00:00Z,15.0,10.55,17.39,249,14.0,17.4,191
2023-01-05T01:00:00Z,15.0,9.86,17.39,252,14.1,17.2,200
2023-01-05T02:00:00Z,14.9,9.77,19.05,257,14.3,16.1,209
2023-01-05T03:00:00Z,14.9,11.09,19.05,257,14.3,17.7,233
2023-01-05T04:00:00Z,14.9,9.92,19.05,253,14.3,16.8,256
2023-01-05T05:00:00Z,14.8,10.00,17.39,266,13.8,13.8,263
2023-01-05T06:00:00Z,14.8,9.70,17.39,263,13.0,16.1,260
2023-01-05T07:00:00Z,14.8,9.61,17.39,272,12.9,16.9,264
2023-01-05T08:00:00Z,14.7,9.40,17.39,269,13.7,16.3,264
2023-01-05T09:00:00Z,14.6,11.08,16.00,271,12.9,16.9,265
2023-01-05T10:00:00Z,14.6,10.74,14.81,278,13.3,15.2,261
2023-01-05T11:00:00Z,14.5,11.60,16.00,276,12.8,15.5,267
2023-01-05T12:00:00Z,14.5,10.65,17.39,282,12.8,14.7,278
2023-01-05T13:00:00Z,14.5,10.94,17.39,285,13.8,15.9,266
2023-01-05T14:00:00Z,14.5,11.68,16.00,282,13.8,15.6,276
2023-01-05T15:00:00Z,14.5,11.05,16.00,291,13.3,14.1,267
2023-01-05T16:00:00Z,14.5,10.27,16.00,294,14.1,13.3,263
2023-01-05T17:00:00Z,14.5,9.09,16.00,288,14.2,13.3,266
2023-01-05T18:00:00Z,14.5,8.98,16.00,283,14.4,11.6,258
2023-01-05T19:00:00Z,14.5,8.61,16.00,284,14.5,11.1,249
2023-01-05T20:00:00Z,14.5,8.95,16.00,291,14.4,9.9,238
2023-01-05T21:00:00Z,14.5,7.48,14.81,284,14.5,11.0,240
2023-01-05T22:00:00Z,14.5,7.67,14.81,285,14.3,11.8,228
2023-01-05T23:00:00Z,14.5,8.14,14.81,289,14.6,10.8,240
2023-01-06T00:00:00Z,14.5,7.05,14.81,294,14.6,9.8,230
2023-01-06T01:00:00Z,14.5,7.09,14.81,297,14.6,8.7,217
2023-01-06T02:00:00Z,14.5,6.50,14.81,297,14.8,8.7,211
2023-01-06T03:00:00Z,14.4,5.79,14.81,307,14.7,8.3,200
2023-01-06T04:00:00Z,14.4,5.07,14.81,304,14.8,9.0,198
2023-01-06T05:00:00Z,14.3,5.83,13.79,302,15.0,10.3,195
2023-01-06T06:00:00Z,14.2,6.06,13.79,310,15.0,11.5,192
2023-01-06T07:00:00Z,14.2,4.94,13.79,297,15.0,12.3,186
2023-01-06T08:00:00Z,14.2,4.94,12.90,302,15.0,13.2,182
2023-01-06T09:00:00Z,14.2,5.11,12.90,297,15.1,14.1,179
2023-01-06T10:00:00Z,14.2,4.78,12.90,304,15.3,14.3,183
2023-01-06T11:00:00Z,14.2,4.63,12.12,292,15.5,15.1,185
2023-01-06T12:00:00Z,14.2,4.67,12.12,281,15.5,14.5,186
2023-01-06T13:00:00Z,14.2,4.71,11.43,275,15.3,12.7,211
2023-01-06T14:00:00Z,14.2,4.45,12.12,271,14.4,12.5,201
2023-01-06T15:00:00Z,14.2,4.69,9.09,231,13.5,11.4,230
2023-01-06T16:00:00Z,14.2,4.82,10.00,261,13.1,6.5,194
2023-01-06T17:00:00Z,14.2,4.88,11.43,273,13.5,6.9,206
2023-01-06T18:00:00Z,14.2,5.07,12.12,274,14.3,6.3,257
2023-01-06T19:00:00Z,14.2,4.74,12.90,278,14.3,6.8,251
2023-01-06T20:00:00Z,14.3,5.21,12.90,277,14.3,6.5,237
2023-01-06T21:00:00Z,14.3,4.60,12.12,278,14.3,6.1,224
2023-01-06T22:00:00Z,14.3,5.03,13.79,275,14.3,6.0,224
2023-01-06T23:00:00Z,14.3,5.16,12.90,273,14.3,5.6,237
2023-01-07T00:00:00Z,14.3,5.24,12.90,278,14.4,4.8,233
2023-01-07T01:00:00Z,14.3,4.91,13.79,276,14.3,3.8,201
2023-01-07T02:00:00Z,14.3,5.02,13.79,280,14.3,3.8,187
2023-01-07T03:00:00Z,14.3,5.59,14.81,280,13.9,4.4,205
2023-01-07T04:00:00Z,14.3,5.44,16.00,272,13.9,4.9,198
2023-01-07T05:00:00Z,14.2,6.34,14.81,275,14.0,5.3,206
2023-01-07T06:00:00Z,14.2,5.37,14.81,276,14.0,4.8,216
2023-01-07T07:00:00Z,14.2,6.15,16.00,280,14.0,4.4,223
2023-01-07T08:00:00Z,14.2,6.23,14.81,273,13.9,4.7,219
2023-01-07T09:00:00Z,14.2,6.32,14.81,277,13.7,5.5,198
