timestamp_utc,wtmp,wvht,dpd,mwd,atmp,wspd,wdir
2023-01-01T00:00:00Z,25.9,2.41,13.79,331,24.9,6.2,74
2023-01-01T01:00:00Z,25.9,2.50,12.90,317,25.5,6.9,85
2023-01-01T02:00:00Z,25.9,2.43,13.79,296,24.1,9.2,71
2023-01-01T03:00:00Z,25.9,2.28,12.90,321,24.2,7.6,91
2023-01-01T04:00:00Z,25.9,2.15,12.90,309,24.7,7.1,103
2023-01-01T05:00:00Z,25.9,2.25,12.90,327,25.0,6.8,91
2023-01-01T06:00:00Z,25.9,2.09,13.79,326,24.4,5.6,114
2023-01-01T07:00:00Z,25.9,2.48,13.79,296,24.8,3.9,90
2023-01-01T08:00:00Z,25.9,2.17,12.90,317,25.0,8.5,67
2023-01-01T09:00:00Z,25.9,2.32,12.90,338,25.4,7.6,68
2023-01-01T10:00:00Z,25.9,2.16,12.12,343,25.5,8.3,77
2023-01-01T11:00:00Z,25.9,2.24,12.90,319,25.5,8.3,73
2023-01-01T12:00:00Z,25.8,2.28,12.90,311,25.4,8.7,69
2023-01-01T13:00:00Z,25.8,2.10,12.90,325,25.0,8.5,60
2023-01-01T14:00:00Z,25.8,2.18,12.90,341,25.2,8.5,74
2023-01-01T15:00:00Z,25.8,2.22,12.90,310,25.4,7.5,75
2023-01-01T16:00:00Z,25.8,2.17,12.12,336,25.4,8.5,77
2023-01-01T17:00:00Z,25.8,2.27,12.90,327,25.2,8.9,72
2023-01-01T18:00:00Z,25.8,2.06,8.33,117,25.4,8.5,72
2023-01-01T19:00:00Z,25.9,2.36,13.79,318,25.4,8.1,73
2023-01-01T20:00:00Z,25.9,2.22,8.33,107,25.5,8.2,77
2023-01-01T21:00:00Z,25.9,2.27,13.79,352,25.6,8.1,76
2023-01-01T22:00:00Z,25.9,2.21,12.90,339,25.6,8.6,83
2023-01-01T23:00:00Z,25.9,2.28,12.90,318,25.5,7.1,74
2023-01-02T00:00:00Z,25.9,2.23,12.90,346,25.2,8.4,63
2023-01-02T01:00:00Z,25.9,2.21,7.69,115,25.5,6.5,71
2023-01-02T02:00:00Z,25.9,2.09,8.33,108,25.4,6.9,74
2023-01-02T03:00:00Z,25.9,2.12,8.33,105,24.9,6.8,55
2023-01-02T04:00:00Z,25.9,1.94,8.33,109,25.0,7.7,65
2023-01-02T05:00:00Z,25.9,2.07,12.12,334,25.2,8.2,67
2023-01-02T06:00:00Z,25.9,2.15,8.33,107,25.2,8.4,63
2023-01-02T07:00:00Z,25.9,2.09,12.12,347,25.4,7.8,76
2023-01-02T08:00:00Z,25.9,2.03,12.90,326,25.4,8.2,85
