period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,friction,diff_friction,status,blocker,exit_depth_m,path_km
40.000,0.0250,130.31,0.5,32.84,0,32.84,0,0.83076,0.83076,land,Coronado shore or shoal,0.2,0.41
40.000,0.0250,130.81,0.5,34.63,0,34.63,0,0.85616,0.85616,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,131.31,0.5,40.92,0,40.92,0,0.85578,0.85578,land,Coronado shore or shoal,0.3,0.43
40.000,0.0250,131.81,0.5,30.36,0,30.36,0,0.84914,0.84914,land,Coronado shore or shoal,0.3,0.44
40.000,0.0250,132.31,0.5,32.39,0,32.39,0,0.84600,0.84600,land,Coronado shore or shoal,0.2,0.45
40.000,0.0250,132.81,0.5,38.41,0,38.41,0,0.83747,0.83747,land,Coronado shore or shoal,0.2,0.46
40.000,0.0250,133.31,0.5,32.83,0,32.83,0,0.84474,0.84474,land,Coronado shore or shoal,0.3,0.48
40.000,0.0250,133.81,0.5,43.11,0,43.11,0,0.82772,0.82772,land,Coronado shore or shoal,0.2,0.49
40.000,0.0250,134.31,0.5,37.61,0,37.61,0,0.83590,0.83590,land,Coronado shore or shoal,0.3,0.50
40.000,0.0250,134.81,0.5,29.50,0,29.50,0,0.83047,0.83047,land,Coronado shore or shoal,0.2,0.51
40.000,0.0250,135.31,0.5,40.71,0,40.71,0,0.83659,0.83659,land,Coronado shore or shoal,0.3,0.52
40.000,0.0250,135.81,0.5,35.11,0,35.11,0,0.84157,0.84157,land,Coronado shore or shoal,0.3,0.53
40.000,0.0250,136.31,0.5,36.07,0,36.07,0,0.82352,0.82352,land,Coronado shore or shoal,0.2,0.54
40.000,0.0250,136.81,0.5,36.62,0,36.62,0,0.84715,0.84715,land,Coronado shore or shoal,0.3,0.55
40.000,0.0250,137.31,0.5,33.10,0,33.10,0,0.82233,0.82233,land,Coronado shore or shoal,0.2,0.56
40.000,0.0250,137.81,0.5,37.94,0,37.94,0,0.83885,0.83885,land,Coronado shore or shoal,0.3,0.58
40.000,0.0250,138.31,0.5,42.38,0,42.38,0,0.83111,0.83111,land,Coronado shore or shoal,0.3,0.59
40.000,0.0250,138.81,0.5,36.08,0,36.08,0,0.83330,0.83330,land,Coronado shore or shoal,0.3,0.60
40.000,0.0250,139.31,0.5,40.20,0,40.20,0,0.83401,0.83401,land,Coronado shore or shoal,0.3,0.61
40.000,0.0250,139.81,0.5,39.68,0,39.68,0,0.82399,0.82399,land,Coronado shore or shoal,0.3,0.63
40.000,0.0250,140.31,0.5,42.67,0,42.67,0,0.81075,0.81075,land,Coronado shore or shoal,0.2,0.65
40.000,0.0250,140.81,0.5,38.09,0,38.09,0,0.82340,0.82340,land,Coronado shore or shoal,0.3,0.67
40.000,0.0250,141.31,0.5,35.82,0,35.82,0,0.84140,0.84140,land,Coronado shore or shoal,0.3,0.70
40.000,0.0250,141.81,0.5,39.31,0,39.31,0,0.83016,0.83016,land,Coronado shore or shoal,0.3,0.72
40.000,0.0250,142.31,0.5,37.24,0,37.24,0,0.82141,0.82141,land,Coronado shore or shoal,0.3,0.75
40.000,0.0250,142.81,0.5,45.94,0,45.94,0,0.82099,0.82099,land,Coronado shore or shoal,0.3,0.78
40.000,0.0250,143.31,0.5,38.57,0,38.57,0,0.80752,0.80752,land,Coronado shore or shoal,0.3,0.82
40.000,0.0250,143.81,0.5,37.87,0,37.87,0,0.80660,0.80660,land,Coronado shore or shoal,0.3,0.86
40.000,0.0250,144.31,0.5,46.32,0,46.32,0,0.84271,0.84271,land,Coronado shore or shoal,0.3,0.88
40.000,0.0250,144.81,0.5,41.38,0,41.38,0,0.83094,0.83094,land,Coronado shore or shoal,0.2,0.93
40.000,0.0250,145.31,0.5,44.41,0,44.41,0,0.83832,0.83832,land,Coronado shore or shoal,0.3,1.04
40.000,0.0250,145.81,0.5,42.75,0,42.75,0,0.82317,0.82317,land,Coronado shore or shoal,0.2,1.12
40.000,0.0250,146.31,0.5,46.89,0,46.89,0,0.82210,0.82210,land,Coronado shore or shoal,0.2,1.16
40.000,0.0250,146.81,0.5,45.06,0,45.06,0,0.80840,0.80840,land,Coronado shore or shoal,0.2,1.17
40.000,0.0250,147.31,0.5,48.52,0,48.52,0,0.81187,0.81187,land,Coronado shore or shoal,0.2,1.16
40.000,0.0250,147.81,0.5,47.28,0,47.28,0,0.80884,0.80884,land,Coronado shore or shoal,0.2,1.17
40.000,0.0250,148.31,0.5,45.30,0,45.30,0,0.81949,0.81949,land,Coronado shore or shoal,0.2,1.18
