generated_utc,cycle_utc,valid_utc,lead_h,wave_source,site,hs_m,hs_basis,depth_m,hs_5m_m,hs_window_m,hs_offshore_m,period_s,from_deg,build_sha
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T09:00:00Z,21,spectrum,coronado_north,1.135,breaking,2.36,1.001,0.813,0.999,11.9,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T09:00:00Z,21,spectrum,coronado_center,0.712,breaking,1.26,0.55,0.82,0.999,11.9,226.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T09:00:00Z,21,spectrum,coronado_south,0.605,breaking,1.31,0.462,0.8,0.999,11.9,216.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T12:00:00Z,24,spectrum,buoy,1.0,buoy,,,,1.0,11.9,203.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T12:00:00Z,24,spectrum,coronado_north,1.135,breaking,2.49,0.997,0.811,1.0,12.7,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T12:00:00Z,24,spectrum,coronado_center,0.717,breaking,1.5,0.557,0.819,1.0,11.9,226.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T12:00:00Z,24,spectrum,coronado_south,0.608,breaking,1.31,0.464,0.798,1.0,11.9,218.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T15:00:00Z,27,spectrum,buoy,1.014,buoy,,,,1.014,12.7,199.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T15:00:00Z,27,spectrum,coronado_north,1.127,breaking,2.32,1.0,0.819,1.014,12.7,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T15:00:00Z,27,spectrum,coronado_center,0.713,breaking,1.72,0.565,0.827,1.014,11.9,225.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T15:00:00Z,27,spectrum,coronado_south,0.605,breaking,1.63,0.475,0.806,1.014,11.9,217.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T18:00:00Z,30,spectrum,buoy,1.023,buoy,,,,1.023,11.9,201.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T18:00:00Z,30,spectrum,coronado_north,1.116,breaking,2.37,0.981,0.816,1.023,12.7,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T18:00:00Z,30,spectrum,coronado_center,0.714,breaking,1.53,0.565,0.825,1.023,11.9,226.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T18:00:00Z,30,spectrum,coronado_south,0.619,breaking,1.58,0.493,0.803,1.023,11.9,216.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T21:00:00Z,33,spectrum,buoy,1.025,buoy,,,,1.025,11.9,200.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T21:00:00Z,33,spectrum,coronado_north,1.084,breaking,2.26,0.942,0.799,1.025,12.7,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T21:00:00Z,33,spectrum,coronado_center,0.713,breaking,1.28,0.552,0.809,1.025,17.8,226.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T21:00:00Z,33,spectrum,coronado_south,0.639,breaking,1.4,0.495,0.79,1.025,11.9,216.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T00:00:00Z,36,spectrum,buoy,1.004,buoy,,,,1.004,11.9,200.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T00:00:00Z,36,spectrum,coronado_north,1.048,breaking,2.32,0.905,0.776,1.004,11.9,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T00:00:00Z,36,spectrum,coronado_center,0.714,breaking,1.41,0.547,0.787,1.004,16.6,227.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T00:00:00Z,36,spectrum,coronado_south,0.64,breaking,1.3,0.494,0.77,1.004,11.9,216.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T03:00:00Z,39,spectrum,buoy,1.003,buoy,,,,1.003,11.9,199.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T03:00:00Z,39,spectrum,coronado_north,1.032,breaking,2.37,0.899,0.76,1.003,11.9,214.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T03:00:00Z,39,spectrum,coronado_center,0.716,breaking,1.46,0.558,0.772,1.003,16.6,226.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T03:00:00Z,39,spectrum,coronado_south,0.628,breaking,1.61,0.495,0.76,1.003,11.9,210.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T06:00:00Z,42,spectrum,buoy,1.013,buoy,,,,1.013,11.1,200.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T06:00:00Z,42,spectrum,coronado_north,1.067,breaking,2.16,0.925,0.759,1.013,13.6,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T06:00:00Z,42,spectrum,coronado_center,0.737,breaking,1.73,0.587,0.772,1.013,16.6,225.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T06:00:00Z,42,spectrum,coronado_south,0.625,breaking,1.63,0.495,0.762,1.013,11.1,207.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T09:00:00Z,45,spectrum,buoy,1.055,buoy,,,,1.055,11.1,200.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-28T09:00:00Z,45,spectrum,coronado_north,1.094,breaking,2.34,0.95,0.767,1.055,13.6,214.0,3a56233
